USWTDB_ID,Longitude,Latitude,Plant_Code
Settler's Trail,-87.60409500000,40.68959000000,57493
Settler's Trail,-87.55399300000,40.74479300000,57493
Settler's Trail,-87.53879500000,40.72929400000,57493
Settler's Trail,-87.59599300000,40.74099300000,57493
Settler's Trail,-87.62479400000,40.71549200000,57493
Settler's Trail,-87.54859200000,40.74939300000,57493
Sendero,-98.94409200000,27.22066100000,59654
Sendero,-98.95892300000,27.13510300000,59654
Sendero,-98.91208600000,27.21499100000,59654
Sendero,-98.91477200000,27.21191800000,59654
Sendero,-98.86491400000,27.12199800000,59654
Settler's Trail,-87.62839500000,40.68899200000,57493
Settler's Trail,-87.54369400000,40.76599100000,57493
Settler's Trail,-87.52939600000,40.69259300000,57493
Settler's Trail,-87.58069600000,40.69789100000,57493
Settler's Trail,-87.54569200000,40.72339200000,57493
Settler's Trail,-87.59919700000,40.72539100000,57493
Settler's Trail,-87.57869700000,40.75289200000,57493
Settler's Trail,-87.54889700000,40.71179200000,57493
Settler's Trail,-87.55019400000,40.75549300000,57493
Sendero,-98.86233500000,27.19745600000,59654
Sendero,-98.91343700000,27.22686200000,59654
Sendero,-98.94953200000,27.16747500000,59654
Sendero,-98.92336300000,27.20448500000,59654
Sendero,-98.91941100000,27.20596500000,59654
Sendero,-98.95706900000,27.13811500000,59654
Sendero,-98.86551700000,27.18174000000,59654
Sendero,-98.95317100000,27.14461900000,59654
Sendero,-98.86767600000,27.14555900000,59654
Sendero,-98.94650300000,27.16939900000,59654
Sendero,-98.86766100000,27.17326000000,59654
Sendero,-98.86719500000,27.17886400000,59654
Sendero,-98.86960600000,27.14030100000,59654
Sendero,-98.95133200000,27.16420400000,59654
Sendero,-98.94255100000,27.22511300000,59654
Sendero,-98.86663800000,27.16234600000,59654
Sendero,-98.93538700000,27.23515100000,59654
Sendero,-98.86475400000,27.19343800000,59654
Sendero,-98.94992800000,27.14686200000,59654
Sendero,-98.91210900000,27.23315800000,59654
Sendero,-98.95666500000,27.14305100000,59654
Sendero,-98.91601600000,27.20775200000,59654
Sendero,-98.94649500000,27.17335100000,59654
Sendero,-98.86925500000,27.15320400000,59654
Sendero,-98.93807200000,27.22850800000,59654
Sendero,-98.91472600000,27.22317100000,59654
Sendero,-98.86633300000,27.13040200000,59654
Sendero,-98.95698500000,27.16040800000,59654
Sendero,-98.94627400000,27.17732600000,59654
Sendero,-98.93678300000,27.23198300000,59654
Sendero,-98.95430800000,27.16248300000,59654
Sendero,-98.94664800000,27.18092200000,59654
Senate,-98.30349000000,33.19839500000,57981
Senate,-98.33049000000,33.17969500000,57981
Senate,-98.42619300000,33.21689200000,57981
Senate,-98.32149500000,33.19789500000,57981
Senate,-98.31249200000,33.18169400000,57981
Senate,-98.42289000000,33.20139300000,57981
Senate,-98.40969100000,33.20809600000,57981
Senate,-98.33679200000,33.18189200000,57981
Senate,-98.30789200000,33.19009400000,57981
Senate,-98.44139100000,33.21719400000,57981
Senate,-98.34889200000,33.17989300000,57981
Senate,-98.41909000000,33.20029400000,57981
Senate,-98.36359400000,33.19739500000,57981
Senate,-98.31848900000,33.19879500000,57981
Sendero,-98.86858400000,27.15863800000,59654
Sendero,-98.94807400000,27.15040800000,59654
Senate,-98.45709200000,33.21629300000,57981
Senate,-98.31909200000,33.18619500000,57981
Senate,-98.40919500000,33.21939500000,57981
Senate,-98.32529400000,33.18719500000,57981
Senate,-98.34199500000,33.19259300000,57981
Senate,-98.32389100000,33.19629300000,57981
Senate,-98.42208900000,33.21709400000,57981
Senate,-98.33199300000,33.18859500000,57981
Senate,-98.33669300000,33.22239300000,57981
Senate,-98.39038800000,33.17969500000,57981
Senate,-98.31049300000,33.19859300000,57981
Senate,-98.35108900000,33.19219600000,57981
Senate,-98.41659500000,33.21829200000,57981
Senate,-98.42069200000,33.19689600000,57981
Senate,-98.46169300000,33.21659500000,57981
Senate,-98.36508900000,33.20579500000,57981
Seven Mile Hill I & II,-106.41129000000,41.94979500000,56843
Seven Mile Hill I & II,-106.38049000000,41.92229500000,56843
Seven Mile Hill I & II,-106.42079000000,41.97129400000,56843
Seven Mile Hill I & II,-106.41159000000,41.94829200000,56843
Shady Oaks,-89.09939600000,41.66539400000,57964
Shady Oaks,-89.10659000000,41.67689100000,57964
Shady Oaks,-89.07929200000,41.67439300000,57964
Shady Oaks,-89.06209600000,41.66449400000,57964
Shady Oaks,-89.10419500000,41.63329300000,57964
Shady Oaks,-89.07569100000,41.65059300000,57964
Shady Oaks,-89.12689200000,41.67669300000,57964
Shady Oaks,-89.08139000000,41.66049200000,57964
Shady Oaks,-89.10639200000,41.67309200000,57964
Shady Oaks,-89.13199600000,41.68419300000,57964
Shady Oaks,-89.13729100000,41.68429200000,57964
Shady Oaks,-89.09529100000,41.67339300000,57964
Seven Mile Hill I & II,-106.41149000000,41.94669300000,56843
Seven Mile Hill I & II,-106.37279000000,41.93889200000,56843
Seven Mile Hill I & II,-106.43659000000,41.95889300000,56843
Seven Mile Hill I & II,-106.38339000000,41.94349300000,56843
Seven Mile Hill I & II,-106.36669000000,41.91769400000,56843
Seven Mile Hill I & II,-106.36609000000,41.92669300000,56843
Seven Mile Hill I & II,-106.38099000000,41.92369500000,56843
Seven Mile Hill I & II,-106.43549000000,41.96629300000,56843
Seven Mile Hill I & II,-106.38339000000,41.94909300000,56843
Seven Mile Hill I & II,-106.37279000000,41.94029200000,56843
Seven Mile Hill I & II,-106.42129000000,41.97279400000,56843
Seven Mile Hill I & II,-106.37279000000,41.93609200000,56843
Seven Mile Hill I & II,-106.36619000000,41.92489200000,56843
Seven Mile Hill I & II,-106.38319000000,41.95619200000,56843
Seven Mile Hill I & II,-106.42529000000,41.96059400000,56843
Seven Mile Hill I & II,-106.37899000000,41.91969300000,56843
Seven Mile Hill I & II,-106.36629000000,41.95829400000,56843
Seven Mile Hill I & II,-106.36559000000,41.94569400000,56843
Seven Mile Hill I & II,-106.36629000000,41.95979300000,56843
Seven Mile Hill I & II,-106.36569000000,41.94719300000,56843
Seven Mile Hill I & II,-106.38329000000,41.95199200000,56843
Seven Mile Hill I & II,-106.37269000000,41.92909200000,56843
Seven Mile Hill I & II,-106.37269000000,41.93049200000,56843
Seven Mile Hill I & II,-106.42649000000,41.95759200000,56843
Seven Mile Hill I & II,-106.36669000000,41.91629400000,56843
Seven Mile Hill I & II,-106.38319000000,41.95479200000,56843
Seven Mile Hill I & II,-106.41189000000,41.95299100000,56843
Seven Mile Hill I & II,-106.36629000000,41.95459400000,56843
Seven Mile Hill I & II,-106.43399000000,41.96809400000,56843
Seven Mile Hill I & II,-106.37269000000,41.93189200000,56843
Seven Mile Hill I & II,-106.38219000000,41.92779200000,56843
Seven Mile Hill I & II,-106.36659000000,41.92199300000,56843
Seven Mile Hill I & II,-106.41249000000,41.95929300000,56843
Seven Mile Hill I & II,-106.42279000000,41.97559400000,56843
Seven Mile Hill I & II,-106.38319000000,41.95339200000,56843
Seven Mile Hill I & II,-106.36659000000,41.92059300000,56843
Seven Mile Hill I & II,-106.41289000000,41.95609300000,56843
Seven Mile Hill I & II,-106.42039000000,41.96979100000,56843
Seven Mile Hill I & II,-106.38189000000,41.92639200000,56843
Seven Mile Hill I & II,-106.41239000000,41.95449400000,56843
Seven Mile Hill I & II,-106.36629000000,41.95699300000,56843
Seven Mile Hill I & II,-106.38339000000,41.94769300000,56843
Seven Mile Hill I & II,-106.38329000000,41.95059200000,56843
Seven Mile Hill I & II,-106.36609000000,41.92339300000,56843
Seven Mile Hill I & II,-106.36559000000,41.95219400000,56843
Seven Mile Hill I & II,-106.36599000000,41.92809300000,56843
Seven Mile Hill I & II,-106.42559000000,41.95909100000,56843
Seven Mile Hill I & II,-106.38279000000,41.95769100000,56843
Seven Mile Hill I & II,-106.43489000000,41.97119100000,56843
Seven Mile Hill I & II,-106.41199000000,41.95139300000,56843
Seven Mile Hill I & II,-106.37269000000,41.93469200000,56843
Seven Mile Hill I & II,-106.38369000000,41.94489300000,56843
Seven Mile Hill I & II,-106.37279000000,41.94169200000,56843
Seven Mile Hill I & II,-106.41179000000,41.94509100000,56843
Seven Mile Hill I & II,-106.43589000000,41.96059400000,56843
Seven Mile Hill I & II,-106.43399000000,41.96969200000,56843
